Order Date,Order Month,Order Year,Customer Name,Segment,Country,City,State,Region,Category,Sales,Quantity,Discount,Profit
26-10-2017,October,2017,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,6.16,2,0,2.9568
05-04-2016,April,2016,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,158.368,7,0.2,13.8572
17-09-2016,September,2016,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,20.1,3,0,6.633
17-09-2016,September,2016,Jim Sink,Corporate,United States,Los Angeles,California,West,Technology,73.584,2,0.2,8.2782
17-09-2016,September,2016,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,6.48,1,0,3.1104
31-01-2015,January,2015,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,12.96,2,0,6.2208
31-01-2015,January,2015,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,53.34,3,0,16.5354
31-01-2015,January,2015,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,32.96,2,0,16.1504
06-11-2017,November,2017,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,5.682,1,0.7,-3.788
09-11-2017,November,2017,Parhena Norris,Home Office,United States,New York City,New York,East,Furniture,96.53,7,0,40.5426
17-06-2017,June,2017,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,51.312,3,0.2,17.9592
06-09-2016,September,2016,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,77.88,6,0,22.5852
29-08-2016,August,2016,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,64.624,7,0.2,22.6184
29-08-2016,August,2016,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Technology,95.976,3,0.2,-10.7973
29-08-2016,August,2016,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,1.788,3,0.8,-3.0396
01-12-2016,December,2016,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,23.92,4,0,11.7208
13-11-2015,November,2015,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Technology,238.896,6,0.2,-26.8758
13-11-2015,November,2015,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Furniture,102.36,3,0.2,-3.8385
13-11-2015,November,2015,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,36.882,3,0.7,-25.8174
23-11-2017,November,2017,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,74.112,8,0.2,17.6016
23-11-2017,November,2017,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,27.992,1,0.2,2.0994
23-11-2017,November,2017,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,3.304,1,0.2,1.0738
15-10-2015,October,2015,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,Technology,339.96,5,0.2,67.992
25-12-2017,December,2017,Cynthia Voltz,Corporate,United States,New York City,New York,East,Furniture,41.96,2,0,10.9096
03-11-2016,November,2016,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,75.96,2,0,22.788
03-11-2016,November,2016,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,27.24,6,0,13.3476
25-08-2014,August,2014,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,40.096,14,0.2,14.5348
25-08-2014,August,2014,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,4.72,2,0.2,1.652
25-08-2014,August,2014,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,23.976,3,0.2,7.4925
25-08-2014,August,2014,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,130.464,6,0.2,44.0316
02-03-2015,March,2015,Dave Kipp,Consumer,United States,Seattle,Washington,West,Furniture,787.53,3,0,165.3813
05-04-2015,April,2015,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,157.794,1,0.7,-115.7156
12-06-2016,June,2016,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Furniture,47.04,3,0,18.3456
12-06-2016,June,2016,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,30.84,4,0,13.878
12-06-2016,June,2016,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,226.56,6,0,63.4368
12-06-2016,June,2016,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,115.02,9,0,51.759
12-06-2016,June,2016,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Technology,68.04,7,0,19.7316
26-12-2014,December,2014,Alan Dominguez,Home Office,United States,Houston,Texas,Central,Furniture,600.558,3,0.3,-8.5794
20-09-2014,September,2014,Philip Fox,Consumer,United States,Bloomington,Illinois,Central,Furniture,617.7,6,0.5,-407.682
05-11-2017,November,2017,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,2.388,2,0.7,-1.8308
05-11-2017,November,2017,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,243.992,7,0.2,30.499
06-11-2016,November,2016,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,81.424,2,0.2,-9.1602
06-11-2016,November,2016,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,238.56,3,0,26.2416
02-02-2017,February,2017,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Technology,59.97,5,0.4,-11.994
02-02-2017,February,2017,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,78.304,2,0.2,29.364
02-02-2017,February,2017,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,21.456,9,0.2,6.9732
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,20.04,3,0,9.6192
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,35.44,1,0,16.6568
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,11.52,4,0,3.456
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,4.02,2,0,1.9698
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,76.176,3,0.2,26.6616
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,65.88,6,0,18.4464
13-10-2016,October,2016,Lena Creighton,Consumer,United States,Roseville,California,West,Furniture,43.12,14,0,20.6976
05-09-2016,September,2016,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,82.8,2,0.2,10.35
18-09-2017,September,2017,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,8.82,3,0,2.3814
18-09-2017,September,2017,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,10.86,3,0,5.1042
18-09-2017,September,2017,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,143.7,3,0,68.976
22-12-2017,December,2017,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,Office Supplies,839.43,3,0,218.2518
07-09-2015,September,2015,Helen Andreada,Consumer,United States,Pasadena,California,West,Office Supplies,671.93,7,0,20.1579
22-10-2014,October,2014,Maureen Gastineau,Home Office,United States,Newark,Ohio,East,Furniture,93.888,4,0.2,12.9096
05-12-2016,December,2016,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,384.45,11,0,103.8015
05-12-2016,December,2016,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,149.97,3,0,5.9988
05-12-2016,December,2016,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Furniture,1951.84,8,0,585.552
05-12-2016,December,2016,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,171.55,5,0,80.6285
13-03-2016,March,2016,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,Office Supplies,157.92,5,0.2,17.766
13-03-2016,March,2016,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,Technology,203.184,2,0.2,15.2388
31-05-2015,May,2015,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,58.38,7,0,26.271
31-05-2015,May,2015,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,105.52,4,0,48.5392
31-05-2015,May,2015,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,80.88,6,0,21.0288
28-05-2015,May,2015,Neil Knudson,Home Office,United States,Seattle,Washington,West,Office Supplies,6.63,3,0,1.7901
01-03-2014,March,2014,Dave Brooks,Consumer,United States,Seattle,Washington,West,Furniture,457.568,2,0.2,51.4764
20-11-2016,November,2016,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,14.62,2,0,6.8714
20-11-2016,November,2016,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Technology,944.93,7,0,236.2325
11-05-2016,May,2016,Ted Trevino,Consumer,United States,Los Angeles,California,West,Office Supplies,5.98,1,0,2.691
28-12-2015,December,2015,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,54.384,2,0.2,1.3596
16-11-2016,November,2016,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,West,Office Supplies,28.4,5,0,13.348
07-11-2016,November,2016,Max Jones,Consumer,United States,Seattle,Washington,West,Office Supplies,27.68,2,0.2,9.688
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,9.936,3,0.2,2.7324
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Technology,8159.952,8,0.4,-1359.992
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,275.928,3,0.2,-58.6347
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Furniture,1740.06,9,0.3,-24.858
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,32.064,6,0.2,6.8136
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,177.98,5,0.8,-453.849
08-09-2014,September,2014,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Technology,143.976,3,0.2,8.9985
05-08-2014,August,2014,Chad Sievert,Consumer,United States,Los Angeles,California,West,Office Supplies,20.94,3,0,9.8418
05-08-2014,August,2014,Chad Sievert,Consumer,United States,Los Angeles,California,West,Office Supplies,110.96,2,0,53.2608
05-08-2014,August,2014,Chad Sievert,Consumer,United States,Los Angeles,California,West,Furniture,340.144,7,0.2,21.259
14-09-2014,September,2014,Jennifer Braxton,Corporate,United States,Chicago,Illinois,Central,Office Supplies,52.448,2,0.8,-131.12
14-09-2014,September,2014,Jennifer Braxton,Corporate,United States,Chicago,Illinois,Central,Office Supplies,20.16,4,0.2,6.552
21-04-2017,April,2017,Shirley Jackson,Consumer,United States,Houston,Texas,Central,Office Supplies,97.264,4,0.8,-243.16
21-11-2015,November,2015,Joel Eaton,Consumer,United States,Newark,Ohio,East,Furniture,396.802,7,0.3,-11.3372
21-11-2015,November,2015,Joel Eaton,Consumer,United States,Newark,Ohio,East,Office Supplies,15.88,5,0.2,-3.7715
15-12-2015,December,2015,Jim Kriz,Home Office,United States,New York City,New York,East,Office Supplies,3.28,1,0,1.4104
05-12-2014,December,2014,David Kendrick,Corporate,United States,Decatur,Illinois,Central,Office Supplies,24.816,2,0.2,1.8612
05-12-2014,December,2014,David Kendrick,Corporate,United States,Decatur,Illinois,Central,Technology,408.744,7,0.2,76.6395
19-11-2014,November,2014,Robert Marley,Home Office,United States,Monroe,Louisiana,South,Technology,503.96,4,0,131.0296
19-11-2014,November,2014,Robert Marley,Home Office,United States,Monroe,Louisiana,South,Technology,149.95,5,0,41.986
19-11-2014,November,2014,Robert Marley,Home Office,United States,Monroe,Louisiana,South,Technology,29,2,0,7.25
28-11-2016,November,2016,Sally Knutson,Consumer,United States,Fairfield,Connecticut,East,Office Supplies,7.16,2,0,3.4368
26-08-2014,August,2014,Frank Merwin,Home Office,United States,Los Angeles,California,West,Technology,176.8,8,0,22.984
16-07-2016,July,2016,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,37.224,3,0.2,3.7224
16-07-2016,July,2016,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,20.016,3,0.2,6.255
12-10-2015,October,2015,Mark Packer,Home Office,United States,New York City,New York,East,Furniture,899.136,4,0.2,112.392
12-10-2015,October,2015,Mark Packer,Home Office,United States,New York City,New York,East,Technology,71.76,6,0,20.0928
12-10-2015,October,2015,Mark Packer,Home Office,United States,New York City,New York,East,Office Supplies,51.84,8,0,24.8832
12-10-2015,October,2015,Mark Packer,Home Office,United States,New York City,New York,East,Furniture,626.352,3,0.2,46.9764
12-10-2015,October,2015,Mark Packer,Home Office,United States,New York City,New York,East,Office Supplies,19.9,5,0,6.567
31-10-2015,October,2015,Mary Zewe,Corporate,United States,Redlands,California,West,Office Supplies,14.28,7,0,6.7116
21-03-2014,March,2014,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,East,Office Supplies,7.408,2,0.2,1.2038
21-03-2014,March,2014,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,East,Office Supplies,6.048,3,0.2,1.5876
06-11-2017,November,2017,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,East,Office Supplies,46.26,3,0,12.0276
06-07-2017,July,2017,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,2.946,2,0.7,-2.2586
06-07-2017,July,2017,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,16.056,3,0.2,5.8203
24-06-2017,June,2017,Maria Bertelson,Consumer,United States,Akron,Ohio,East,Office Supplies,21.744,3,0.2,6.795
03-08-2014,August,2014,Bruce Stewart,Consumer,United States,Denver,Colorado,West,Furniture,218.75,2,0.5,-161.875
03-08-2014,August,2014,Bruce Stewart,Consumer,United States,Denver,Colorado,West,Office Supplies,2.6,1,0.2,0.2925
17-12-2017,December,2017,Logan Currie,Consumer,United States,Dallas,Texas,Central,Office Supplies,66.284,2,0.8,-178.9668
03-06-2017,June,2017,Heather Kirkland,Corporate,United States,Franklin,Tennessee,South,Furniture,35.168,7,0.2,9.6712
09-12-2017,December,2017,Laurel Elliston,Consumer,United States,Whittier,California,West,Technology,444.768,4,0.2,44.4768
01-12-2017,December,2017,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,83.92,4,0,5.8744
01-12-2017,December,2017,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Technology,131.98,2,0,35.6346
01-12-2017,December,2017,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,15.92,4,0,7.4824
01-12-2017,December,2017,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,52.29,9,0,16.2099
01-12-2017,December,2017,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,91.99,1,0,3.6796
09-02-2015,February,2015,Michael Stewart,Corporate,United States,Dallas,Texas,Central,Technology,20.8,2,0.2,6.5
02-01-2015,January,2015,Victoria Wilson,Corporate,United States,Medina,Ohio,East,Office Supplies,23.68,2,0.2,8.88
02-01-2015,January,2015,Victoria Wilson,Corporate,United States,Medina,Ohio,East,Furniture,452.45,5,0.5,-244.323
02-01-2015,January,2015,Victoria Wilson,Corporate,United States,Medina,Ohio,East,Technology,62.982,3,0.4,-14.6958
02-01-2015,January,2015,Victoria Wilson,Corporate,United States,Medina,Ohio,East,Technology,1188,9,0.7,-950.4
02-01-2015,January,2015,Victoria Wilson,Corporate,United States,Medina,Ohio,East,Technology,89.584,2,0.2,4.4792
28-10-2016,October,2016,Jonathan Howell,Consumer,United States,Los Angeles,California,West,Office Supplies,93.06,6,0,26.0568
28-10-2016,October,2016,Jonathan Howell,Consumer,United States,Los Angeles,California,West,Technology,302.376,3,0.2,22.6782
24-12-2015,December,2015,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Office Supplies,5.584,2,0.2,1.8148
24-12-2015,December,2015,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Office Supplies,22.704,6,0.2,8.2302
24-12-2015,December,2015,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Office Supplies,19.776,4,0.7,-13.8432
24-12-2015,December,2015,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Furniture,72.704,4,0.2,19.0848
24-12-2015,December,2015,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Technology,479.988,4,0.7,-383.9904
24-12-2015,December,2015,Joni Blumstein,Consumer,United States,Dublin,Ohio,East,Office Supplies,27.168,2,0.2,2.7168
09-08-2015,August,2015,David Smith,Corporate,United States,Detroit,Michigan,Central,Office Supplies,2.2,1,0,0.968
09-08-2015,August,2015,David Smith,Corporate,United States,Detroit,Michigan,Central,Furniture,622.45,5,0,136.939
09-08-2015,August,2015,David Smith,Corporate,United States,Detroit,Michigan,Central,Office Supplies,21.98,1,0,0.2198
